delikt;straftaten;aufgklaerte_strafdaten;aufklaerungsrate;tot_opfer;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70+;s.n.;mann;frau;divers;o.A.
Phishing;642;60;9.3%;469;0;2;3;4;18;39;44;35;74;85;51;42;0;218;179;72;0
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem;319;46;14.4%;203;0;1;5;3;9;18;13;11;24;23;17;10;0;61;73;69;0
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten;470;101;21.5%;334;0;3;8;8;25;34;34;20;48;30;23;11;0;125;119;90;0
Malware – Ransomware;222;4;1.8%;137;0;0;0;0;0;1;1;2;4;4;0;7;0;17;2;118;0
Malware – E-Banking Trojaner;83;19;22.9%;62;0;0;1;0;2;3;2;1;3;13;10;9;0;27;17;18;0
Malware – Spyware;65;8;12.3%;42;0;0;0;0;1;0;5;4;7;3;0;2;0;11;11;20;0
Malware – Rogue-/Scareware;49;3;6.1%;28;0;1;0;0;1;0;1;0;2;4;4;12;0;15;10;3;0
Malware – Botnet;18;3;16.7%;13;0;0;0;1;0;1;0;0;1;2;0;2;0;6;1;6;0
DDoS;43;4;9.3%;29;0;0;0;0;1;2;1;1;2;0;2;1;0;6;4;19;0
Cyberbetrug;16395;6172;37.6%;12645;3;37;202;323;943;1024;1219;1234;2216;1914;1184;929;16;6667;4575;1401;2
Money/Package Mules;1690;923;54.6%;1162;0;2;18;21;85;105;129;128;253;179;85;70;17;677;415;70;0
Sextortion;513;35;6.8%;407;0;15;23;24;66;42;25;29;68;71;29;14;0;321;85;1;0
Diebstahl von Krypto;35;5;14.3%;24;0;0;0;2;0;0;5;2;5;5;3;1;0;19;4;1;0
Verbotene Pornografie;2338;2264;96.8%;145;16;68;36;3;3;5;3;2;6;0;1;1;1;32;113;0;0
Grooming;130;104;80.0%;55;2;40;11;1;0;0;0;0;1;0;0;0;0;14;41;0;0
Sextortion;109;54;49.5%;78;2;20;20;7;6;8;3;2;4;3;2;1;0;11;67;0;0
Live Streaming;35;33;94.3%;9;2;6;1;0;0;0;0;0;0;0;0;0;0;3;6;0;0
Cybersquatting;24;3;12.5%;24;0;0;0;0;0;0;2;1;5;2;1;1;0;5;7;12;0
Cyber-Rufschädigung;107;59;55.1%;108;0;0;0;1;7;5;11;4;23;12;12;0;0;46;29;33;0
Cyberbullying/-mobbing;1109;851;76.7%;784;2;56;47;42;72;82;97;76;136;100;43;10;2;332;433;19;0
Illegaler Handel im Darknet;2;1;50.0%;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Data leaking;0;0;–;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
