delikt;straftaten;"aufgklaerte_strafdaten
";aufklaerungsrate;tot_opfer;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70+;s.n.;mann;frau;divers;o.A.
Phishing;2236;141;6.3%;1424;0;4;27;43;95;127;119;128;236;254;163;119;0;644;671;109;0
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem;246;27;11.0%;173;0;1;2;3;6;7;9;19;27;27;12;13;0;73;53;47;0
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten;796;108;13.6%;547;0;5;8;14;44;45;42;47;86;77;50;31;0;238;211;98;0
Malware – Ransomware;307;4;1.3%;248;0;0;0;0;2;3;5;4;15;13;19;12;0;52;21;175;0
Malware – E-Banking Trojaner;49;3;6.1%;41;0;0;1;0;1;1;0;2;9;6;5;8;0;17;16;8;0
Malware – Spyware;15;3;20.0%;10;0;0;0;0;1;1;0;2;1;0;1;0;0;2;4;4;0
Malware – Rogueware/Scareware;45;0;0.0%;40;0;0;0;0;2;0;0;0;2;6;12;18;0;18;22;0;0
Malware – Botnet;17;0;0.0%;13;0;0;0;0;1;1;1;2;1;1;2;0;0;4;5;4;0
DDoS;16;2;12.5%;12;0;0;0;0;0;1;0;1;0;1;0;1;0;1;3;8;0
Cyberbetrug;22207;6686;30.1%;17519;5;50;342;418;1359;1540;1662;1747;3180;2599;1745;1510;16;9460;6711;1346;2
Money/Package Mules;2045;1260;61.6%;880;0;2;18;19;83;78;92;88;168;134;64;77;8;518;313;49;0
Sextortion (money);1588;54;3.4%;1142;0;21;116;121;271;137;83;74;130;102;64;19;0;1047;91;4;0
Diebstahl von Kryptowährungen;110;6;5.5%;75;0;0;0;2;5;12;11;12;12;12;5;2;0;61;12;2;0
Verbotene Pornografie;2594;2462;94.9%;152;20;60;30;4;6;5;7;5;8;4;1;1;0;59;92;1;0
Grooming;141;115;81.6%;57;7;40;8;0;0;0;1;0;1;0;0;0;0;4;53;0;0
Sextortion (sex);65;26;40.0%;56;0;10;8;7;5;4;4;2;11;1;1;0;3;19;37;0;0
Live Streaming;20;18;90.0%;4;0;3;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0
Cybersquatting;71;2;2.8%;70;0;0;0;0;1;6;2;8;10;11;2;5;0;24;21;25;0
Cyber-Rufschädigung (Geschäftlich);69;45;65.2%;68;0;0;1;0;1;3;7;3;14;10;7;0;1;28;19;21;0
Cyberbullying/Cybermobbing;707;486;68.7%;548;1;31;29;19;58;73;54;62;95;75;22;10;1;230;300;18;0
Illegaler Handel im Darknet;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Data leaking;1;0;0.0%;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
