land,jahr,cyber_kat,taten,aufg_taten,aufg_quote
ch,2020,Computerbetrug,18171,7104,39.09526168070002
ch,2020,Computersabotage,1072,158,14.738805970149254
ch,2020,Datendiebstahl,1447,209,14.443676572218383
ch,2020,Datenfälschung/-täuschung,1240,913,73.62903225806451
ch,2021,Computerbetrug,22962,7689,33.48575908021949
ch,2021,Computersabotage,1362,112,8.223201174743025
ch,2021,Datendiebstahl,2540,261,10.275590551181102
ch,2021,Datenfälschung/-täuschung,1103,719,65.18585675430644
ch,2022,Computerbetrug,24407,7952,32.58081697873561
ch,2022,Computersabotage,1382,141,10.20260492040521
ch,2022,Datendiebstahl,3974,245,6.165072974333166
ch,2022,Datenfälschung/-täuschung,847,533,62.92798110979929
ch,2023,Computerbetrug,33585,7089,21.107637338097366
ch,2023,Computersabotage,1372,94,6.851311953352769
ch,2023,Datendiebstahl,5680,290,5.105633802816902
ch,2023,Datenfälschung/-täuschung,725,430,59.310344827586206
de,2020,Datenfälschung/-täuschung,10895,3827,35.12620468104635
de,2020,Computersabotage,3770,891,23.633952254641912
de,2020,Datendiebstahl,10763,2639,24.51918610052959
de,2020,Computerbetrug,105049,34453,32.79707565041076
de,2021,Datenfälschung/-täuschung,13390,4365,32.59895444361464
de,2021,Computersabotage,5053,967,19.137146249752625
de,2021,Datendiebstahl,14918,2765,18.53465612012334
de,2021,Computerbetrug,113002,34842,30.83308260030796
de,2022,Datenfälschung/-täuschung,13043,4428,33.94924480564288
de,2022,Computersabotage,3451,897,25.992465951898
de,2022,Datendiebstahl,13206,2707,20.498258367408752
de,2022,Computerbetrug,107165,31293,29.200765175197123
at,2020,Computerbetrug,10957,1789,16.327461896504516
at,2020,Computersabotage,1248,201,16.105769230769234
at,2020,Datendiebstahl,79,17,21.518987341772153
at,2020,Datenfälschung/-täuschung,630,452,71.74603174603175
at,2021,Computerbetrug,13241,2228,16.82652367645948
at,2021,Computersabotage,1401,241,17.20199857244825
at,2021,Datendiebstahl,72,15,20.833333333333336
at,2021,Datenfälschung/-täuschung,770,411,53.37662337662338
at,2022,Computerbetrug,18966,3779,19.925129178530003
at,2022,Computersabotage,2280,246,10.789473684210527
at,2022,Datendiebstahl,76,26,34.21052631578947

