kategorie,alter,bildung,sex,2023,2021,2019
Verwendung von Sicherheitssoftware (Computer),15-29,sekundarstufe_2,M,59572.0,76047.0,62168.0
Verwendung von Sicherheitssoftware (Computer),15-29,tertiaerstufe,M,92802.0,78683.0,72913.0
Verwendung von Sicherheitssoftware (Computer),15-29,oblig_schulbild_<25,M,230380.0,276876.0,290256.0
Verwendung von Sicherheitssoftware (Computer),30-59,ohne_nachoblig_schulbild_>25,M,65591.0,92791.0,146203.0
Verwendung von Sicherheitssoftware (Computer),30-59,sekundarstufe_2,M,343394.0,345599.0,447555.0
Verwendung von Sicherheitssoftware (Computer),30-59,tertiaerstufe,M,771402.0,815172.0,683397.0
Verwendung von Sicherheitssoftware (Computer),60>,ohne_nachoblig_schulbild_>25,M,62578.0,,82412.0
Verwendung von Sicherheitssoftware (Computer),60>,sekundarstufe_2,M,193469.0,237497.0,206567.0
Verwendung von Sicherheitssoftware (Computer),60>,tertiaerstufe,M,368569.0,345424.0,268269.0
Verwendung von Sicherheitssoftware (Computer),15-29,sekundarstufe_2,F,,65926.0,85927.0
Verwendung von Sicherheitssoftware (Computer),15-29,tertiaerstufe,F,75653.0,55131.0,88070.0
Verwendung von Sicherheitssoftware (Computer),15-29,oblig_schulbild_<25,F,192242.0,186378.0,270264.0
Verwendung von Sicherheitssoftware (Computer),30-59,ohne_nachoblig_schulbild_>25,F,68012.0,88516.0,116251.0
Verwendung von Sicherheitssoftware (Computer),30-59,sekundarstufe_2,F,334515.0,427094.0,444870.0
Verwendung von Sicherheitssoftware (Computer),30-59,tertiaerstufe,F,474464.0,515683.0,477899.0
Verwendung von Sicherheitssoftware (Computer),60>,sekundarstufe_2,F,207033.0,221831.0,263173.0
Verwendung von Sicherheitssoftware (Computer),60>,tertiaerstufe,F,146987.0,153990.0,113924.0
Erstellen von Sicherheitskopien (min. 1 x Monat),15-29,oblig_schulbild_<25,M,135848.0,163064.0,150319.0
Erstellen von Sicherheitskopien (min. 1 x Monat),30-59,ohne_nachoblig_schulbild_>25,M,73635.0,55774.0,79805.0
